filename,processing_time,codes_found,detection_success,megapixels,file_size_mb,strategies_used,overall_quality_score,resolution_category,contrast_score,contrast_category,sharpness_score,sharpness_category,brightness,lighting_category,noise_level,noise_category,has_qr_code,has_barcode,resolution_range,contrast_range
05102009081.jpg,0.87652,1,1,1.92,0.2800941467285156,1,51.431216498296585,medium,0.19092792774104594,medium,476.1519048005983,moderate,152.32555885416667,optimal,1.3515740047870084,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009082.jpg,0.821777,1,1,1.92,0.27283668518066406,1,55.10402837756622,medium,0.19431476813404844,medium,627.5723334243755,sharp,153.81111145833333,optimal,1.3159159914597356,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009083.jpg,0.718349,1,1,1.92,0.24466991424560547,1,46.70622634940497,medium,0.1819585609433242,medium,260.7483134532095,moderate,149.84042708333334,optimal,0.8570647915541254,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009101.jpg,0.978299,1,1,1.92,0.29811573028564453,1,49.72935490775123,medium,0.1706353474928101,medium,483.46898228450397,moderate,93.798328125,optimal,1.3367165719757432,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009102.jpg,1.053451,1,1,1.92,0.3683280944824219,1,62.08422729296795,medium,0.1982088962000705,medium,789.229720440748,sharp,131.8639625,optimal,1.917194985797605,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009103.jpg,6.745859,1,1,1.92,0.41265010833740234,2,65.5798650346677,medium,0.19623246826340815,medium,976.7243890592168,sharp,136.0663109375,optimal,2.400321349378322,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009104.jpg,1.113724,1,1,1.92,0.38520240783691406,1,62.93997981418492,medium,0.2016768768454684,medium,827.5040832430003,sharp,131.77424114583334,optimal,2.1190749886803877,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009105.jpg,3.564274,1,1,1.92,0.39214038848876953,2,64.25316183776314,medium,0.206835156652735,medium,902.8140381708525,sharp,135.72306041666667,optimal,2.19817620276119,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009106.jpg,2.354388,1,1,1.92,0.33611392974853516,1,53.44224230964646,medium,0.17573068891820962,medium,493.0719761729035,moderate,139.03557083333334,optimal,1.4683230104418286,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009108.jpg,2.587146,1,1,1.92,0.334075927734375,1,53.25646631901343,medium,0.17144724774950187,medium,498.7504720389513,moderate,140.524590625,optimal,1.455403636482213,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009110.jpg,1.324072,1,1,1.92,0.3034982681274414,1,54.26566674612254,medium,0.1985534265049999,medium,424.87025410924394,moderate,127.45653489583333,optimal,1.3131072136780015,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009111.jpg,0.99818,1,1,1.92,0.3044271469116211,1,53.80222083680552,medium,0.19668725281692773,medium,426.16467849608074,moderate,125.03999010416666,optimal,1.3831935407909364,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009114.jpg,0.94031,1,1,1.92,0.3139505386352539,1,59.50528469411696,medium,0.23029738161853708,medium,691.092273123254,sharp,114.10870885416666,optimal,1.4288619848853368,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009115.jpg,1.380041,1,1,1.92,0.3582315444946289,1,64.51646963175209,medium,0.2275176380476225,medium,922.5061307432458,sharp,114.1017453125,optimal,2.132437578215693,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009117.jpg,1.109918,1,1,1.92,0.3419523239135742,1,60.93660636178001,medium,0.21022900983596668,medium,751.5877722740613,sharp,118.781315625,optimal,1.7411764262648126,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009118.jpg,0.922021,1,1,1.92,0.32147789001464844,1,61.722096276642645,medium,0.2279483919364224,medium,808.2353486051363,sharp,110.27289635416666,optimal,1.480206468922469,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009119.jpg,0.940162,1,1,1.92,0.33420562744140625,1,58.7293175217433,medium,0.2170462304827554,medium,695.357991352725,sharp,112.37533125,optimal,1.7082909653201777,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009120.jpg,1.706204,1,1,3.145728,0.7676877975463867,1,60.40241505602266,high,0.2039160103628858,medium,775.2902884879659,sharp,116.12376848856609,optimal,2.293235511494287,low,False,True,> 1920x1080,Low (<0.4)
05102009121.jpg,5.135202,1,1,3.145728,0.7894992828369141,1,63.77955827256375,high,0.20688699283830833,medium,919.3357617629118,sharp,116.552308400472,optimal,2.6587256356780515,low,False,True,> 1920x1080,Low (<0.4)
05102009122.jpg,1.750781,1,1,3.145728,0.7096805572509766,1,56.69270840716618,high,0.22892319287781732,medium,594.558245335545,sharp,114.58266194661458,optimal,1.8680784417544767,low,False,True,> 1920x1080,Low (<0.4)
05102009123.jpg,1.749003,1,1,3.145728,0.7769641876220703,1,63.707373876025144,high,0.24151050529971052,medium,884.3624340372862,sharp,117.28327782948811,optimal,2.8368265218292867,low,False,True,> 1920x1080,Low (<0.4)
05102009124.jpg,1.741171,1,1,3.145728,0.8009805679321289,1,51.233926318910044,high,0.17012707137851155,medium,545.9741252080227,sharp,155.83113765716553,optimal,2.224503571099895,low,False,True,> 1920x1080,Low (<0.4)
05102009125.jpg,1.879604,1,1,3.145728,0.8773050308227539,1,59.7242531913993,high,0.173396579680577,medium,774.8600425697446,sharp,133.89042886098227,optimal,2.9797421513713265,low,False,True,> 1920x1080,Low (<0.4)
05102009126.jpg,1.718464,1,1,3.145728,0.717961311340332,1,50.90102643088289,high,0.1724577443980025,medium,432.0887546041279,moderate,143.08524735768637,optimal,1.767891360611729,low,False,True,> 1920x1080,Low (<0.4)
05102009127.jpg,1.774567,1,1,3.145728,0.8162918090820312,1,56.330428094215996,high,0.18682953170747527,medium,687.1271319986362,sharp,145.9069096247355,optimal,2.6311301259292654,low,False,True,> 1920x1080,Low (<0.4)
05102009129.jpg,5.572626,1,1,3.145728,0.9132242202758789,1,60.92342761839861,high,0.16623428551657246,medium,1004.8298449895783,sharp,158.34582328796387,optimal,3.393869003756662,low,False,True,> 1920x1080,Low (<0.4)
